SampleID	EXTENDScores	Samples	RTA	TERTExp
PC10_6	0.613986474	GSC10-6	265.6388	0.41329017
PC11	0.925051008	GSC11	627.943	0.6623272
PC16	0.623852505	GSC16	812.5951	0.21786383
PC17	0.76021191	GSC17	563.9515	0.18768738
PC2_14	0.728793397	GSC2-14	878.2423	0.56142235
PC23	0.857339159	GSC23	693.6306	0.5743902
PC231	0.157458608	GSC231	353.5887	0.16902691
PC248	0.311278751	GSC248	714.5557	0.24389222
PC262	0.960402018	GSC262	909.4583	1.205541
PC264	0.992315202	GSC264	413.9938	0.9639989
PC267	0.26613074	GSC267	268.447	0.008539105
PC268	0.377142571	GSC268	689.9033	0.31849948
PC272	0.612488729	GSC272	802.9644	0.34848523
PC274	1	GSC274	1330.363	1.8298271
PC28	0.335186539	GSC28	138.877	0.16011932
PC280	0.502799844	GSC280	683.4485	0.26703504
PC289	0.214866522	GSC289	683.9243	0.28060475
PC293	0.502770302	GSC293	581.4231	0.24191298
PC295	0.365237074	GSC295	410.5694	0.2427802
PC296	0.761344049	GSC296	1125.082	0.608943
PC300	0.437287728	GSC300	849.3191	0.045649976
PC304	0.655251545	GSC304	613.369	0.567333
PC34	0.6363243	GSC34	712.7537	0.42921492
PC4_23	0.902750638	GSC4-23	494.6444	1.068282
PC5_22	0.099529487	GSC5-22	12.3632	0
PC7_2	0.719598395	GSC7-2	435.5413	0.3726355
PC8_11	0.955767686	GSC811	687.8388	0.53304183
PC8_18	0.018756251	GSC818	37.92742	0
