SampleID	EXTENDScores	TERT_log2Intensity	Mechanism
GSM3402985	0.658938644	8.822621937	MYCN_Amp
GSM3402987	0.628241645	9.828408824	MYCN_Amp
GSM3402999	0.777809383	11.23719704	MYCN_Amp
GSM3403001	0.867937577	12.14437619	MYCN_Amp
GSM3403002	0.564314603	9.771322191	MYCN_Amp
GSM3403007	0.509115511	8.256261181	MYCN_Amp
GSM3403009	0.563196451	7.424395964	MYCN_Amp
GSM3403012	0.54853975	11.44620362	MYCN_Amp
GSM3403017	0.719854713	9.974772822	MYCN_Amp
GSM3403020	0.723503396	11.70203418	MYCN_Amp
GSM3403025	0.54269906	7.495223318	MYCN_Amp
GSM3403027	0.710204216	10.50907158	MYCN_Amp
GSM3403028	0.575344326	10.217127	MYCN_Amp
GSM3403035	0.709302611	11.11463848	MYCN_Amp
GSM3403046	0.795772983	16.38049575	MYCN_Amp
GSM3403051	0.736445476	10.75785957	MYCN_Amp
GSM3403052	0.671302107	9.151199062	MYCN_Amp
GSM3403053	0.865694863	11.39093736	MYCN_Amp
GSM3403059	0.656211554	10.79219953	MYCN_Amp
GSM3403063	0.61341549	9.258317091	MYCN_Amp
GSM3403064	0.59286763	10.92845371	MYCN_Amp
GSM3403065	0.395841503	9.609987536	MYCN_Amp
GSM3403068	0.809198328	11.1696459	MYCN_Amp
GSM3403069	0.696336345	10.31555253	MYCN_Amp
GSM3403086	0.778338668	13.73165216	MYCN_Amp
GSM3403090	0.63880504	9.929458268	MYCN_Amp
GSM3403096	0.583241769	9.209391348	MYCN_Amp
GSM3403101	0.899118711	12.29525792	MYCN_Amp
GSM3403106	0.688172435	10.08906913	MYCN_Amp
GSM3403112	0.576473972	10.161173	MYCN_Amp
GSM3403113	0.657739266	9.923740426	MYCN_Amp
GSM3403117	0.522668928	7.683953247	MYCN_Amp
GSM3403120	0.931323365	12.62526828	MYCN_Amp
GSM3403121	0.637757324	9.847023733	MYCN_Amp
GSM3403124	0.635027308	10.86140242	MYCN_Amp
GSM3403126	0.683827845	10.336013	MYCN_Amp
GSM3403127	0.42869706	10.18306537	MYCN_Amp
GSM3403130	0.494140385	9.890514	MYCN_Amp
GSM3403132	0.783468532	12.166107	MYCN_Amp
GSM3403151	0.450505855	10.43733753	MYCN_Amp
GSM3403152	0.757598398	10.90679449	MYCN_Amp
GSM3403153	0.699208035	11.60163231	MYCN_Amp
GSM3403154	0.725931613	10.1820212	MYCN_Amp
GSM3403155	0.44693061	8.905845362	MYCN_Amp
GSM3403159	0.770508698	11.64716745	MYCN_Amp
GSM3403163	0.883815567	11.92687303	MYCN_Amp
