SampleID	celltype	Telomerase	TERT	EXTENDScores
CALU1_LUNG	calu1	9.17744	0.631897	0.481383344
CALU3_LUNG	calu3	21.33744	0.41836	0.340494349
CALU6_LUNG	calu6	5.45744	0.19083	0.471294733
HCC1359_LUNG	hcc1359	17.45744	0.601848	0.502575239
HCC4006_LUNG	hcc4006	69.17744	2.00583	0.569899783
HCC515_LUNG	hcc515	46.77744	0.205534	0.497163498
NCIH1299_LUNG	h1299	179.97744	4.50601	0.762646959
NCIH1648_LUNG	h1648	82.37744	0.0774054	0.404661957
NCIH1650_LUNG	h1650	1.36144	0.445743	0.491297434
NCIH1693_LUNG	h1693	89.57744	2.25294	0.717178302
NCIH1703_LUNG	h1703	173.57744	3.38271	0.695741551
NCIH1819_LUNG	h1819	37.05744	0.355195	0.572116006
NCIH2009_LUNG	h2009	43.97744	2.89997	0.622181484
NCIH2882_LUNG	h2882	79.17744	4.55024	0.655657628
NCIH2887_LUNG	h2887	10.93744	0.434345	0.546948485
