SampleID	TERT	Tissue	Tissues	Description	EXTEND
GTEX-1117F-0226-SM-5GZZ7	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.489621351
GTEX-1117F-0426-SM-5EGHI	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.115219017
GTEX-1117F-0526-SM-5EGHJ	0	Blood Vessel	ArteryTibial	ArteryTibial	0.244821569
GTEX-1117F-0626-SM-5N9CS	0.01425	Blood Vessel	ArteryCoronary	ArteryCoronary	0.526520858
GTEX-1117F-0726-SM-5GIEN	0.01912	Heart	Heart_AA	Heart_AtrialAppendage	0.486949639
GTEX-1117F-1326-SM-5EGHH	0.05392	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.424211291
GTEX-1117F-2226-SM-5N9CH	0.01518	Ovary	Ovary	Ovary	0.467900121
GTEX-1117F-2426-SM-5EGGH	0	Uterus	Uterus	Uterus	0.327285685
GTEX-1117F-2526-SM-5GZY6	0.08134	Vagina	Vagina	Vagina	0.66171149
GTEX-1117F-2826-SM-5GZXL	0	Breast	Breast	Breast_MammaryTissue	0.616105326
GTEX-1117F-2926-SM-5GZYI	0.1191	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.612158485
GTEX-1117F-3026-SM-5GZYU	0.07993	Salivary Gland	MinorSalivaryGland	MinorSalivaryGland	0.57478659
GTEX-1117F-3226-SM-5N9CT	0.2038	Brain	Brain_Cortex	Brain_Cortex	0.500886334
GTEX-111CU-0126-SM-5GZWZ	0	Adrenal Gland	Adrenal_GD	Adrenal_GD	0.48132286
GTEX-111CU-0226-SM-5GZXC	0	Thyroid	Thyroid	Thyroid	0.176967312
GTEX-111CU-0326-SM-5GZXO	0	Lung	Lung	Lung	0.341009061
GTEX-111CU-0426-SM-5GZY1	0.1366	Spleen	Spleen	Spleen	0.46056805
GTEX-111CU-0526-SM-5EGHK	0	Pancreas	Pancreas	Pancreas	0.258401851
GTEX-111CU-0626-SM-5EGHL	0.05727	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.420912657
GTEX-111CU-0726-SM-5GZYD	0.2293	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.719185984
GTEX-111CU-0826-SM-5EGIJ	0.01286	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.481893602
GTEX-111CU-0926-SM-5EGIK	0.7111	Stomach	Stomach	Stomach	0.668597318
GTEX-111CU-1026-SM-5EGIL	0.008025	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.509098464
GTEX-111CU-1126-SM-5EGIM	0.08764	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.476515898
GTEX-111CU-1226-SM-5EGIN	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.272683618
GTEX-111CU-1326-SM-5NQ8L	0.06202	Small Intestine	Small_Intestine	Small_Intestine	0.521432628
GTEX-111CU-1426-SM-5GZYP	0.698	Colon	Colon_Transverse	Colon_Transverse	0.678015869
GTEX-111CU-1526-SM-5N9FS	0	Prostate	Prostate	Prostate	0.433294774
GTEX-111CU-1726-SM-5EGHM	3.165	Testis	Testis	Testis	0.858613432
GTEX-111CU-1826-SM-5GZYN	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.526608881
GTEX-111CU-2026-SM-5GZZC	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.439638285
GTEX-111CU-2226-SM-5N9G5	0	Nerve	NerveTibial	Nerve_Tibial	0.541215183
GTEX-111FC-0126-SM-5N9DL	0.07439	Skin	Skin_SunExposed	Skin_SunExposed	0.635048666
GTEX-111FC-0226-SM-5N9B8	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.522620919
GTEX-111FC-0326-SM-5GZZ1	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.45959282
GTEX-111FC-0426-SM-5N9CV	0	Blood Vessel	ArteryTibial	ArteryTibial	0.536153936
GTEX-111FC-0526-SM-5GZZ8	0	Nerve	NerveTibial	Nerve_Tibial	0.494687045
GTEX-111FC-0626-SM-5N9CU	0.0108	Heart	Heart_AA	Heart_AtrialAppendage	0.385932183
GTEX-111FC-0826-SM-5GZWO	0	Heart	Heart_LV	Heart_LeftVentricle	0.248196063
GTEX-111FC-1026-SM-5GZX1	0	Thyroid	Thyroid	Thyroid	0.36816668
GTEX-111FC-1126-SM-5GZWU	0.05795	Lung	Lung	Lung	0.359896292
GTEX-111FC-1326-SM-5N9D9	0.2558	Spleen	Spleen	Spleen	0.479380059
GTEX-111FC-1926-SM-5GZYC	2.426	Testis	Testis	Testis	0.743287036
GTEX-111FC-2026-SM-5GZYO	0.2013	Prostate	Prostate	Prostate	0.411272437
GTEX-111FC-2526-SM-5GZXU	0.04671	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.459794093
GTEX-111FC-2926-SM-5GZY7	0.07327	Salivary Gland	MinorSalivaryGland	MinorSalivaryGland	0.507804293
GTEX-111FC-3126-SM-5GZZ2	0.1557	Brain	Brain_Cortex	Brain_Cortex	0.454154411
GTEX-111FC-3326-SM-5GZYV	0	Brain	Brain_Cerebellum	Brain_Cerebellum	0.59678196
GTEX-111VG-0008-SM-5Q5BG	0.01539	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.650121009
GTEX-111VG-0326-SM-5GZX7	0	Heart	Heart_AA	Heart_AtrialAppendage	0.21257554
GTEX-111VG-0526-SM-5N9BW	0.06861	Thyroid	Thyroid	Thyroid	0.399781352
GTEX-111VG-0726-SM-5GIDC	0.0218	Lung	Lung	Lung	0.387257728
GTEX-111VG-1626-SM-5EGIO	0.3479	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.656524728
GTEX-111VG-1926-SM-5GIDO	3.326	Testis	Testis	Testis	0.815831922
GTEX-111VG-2226-SM-5N9DU	0.04482	Colon	Colon_Transverse	Colon_Transverse	0.409076814
GTEX-111VG-2326-SM-5N9BK	0.02941	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.520726884
GTEX-111VG-2426-SM-5GZXD	0.3664	Skin	Skin_SunExposed	Skin_SunExposed	0.556149019
GTEX-111VG-2526-SM-5GZXP	0	Nerve	NerveTibial	Nerve_Tibial	0.491073499
GTEX-111VG-2626-SM-5GZY2	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.498844109
GTEX-111YS-0006-SM-5NQBE	0.05514	Blood	WholeBlood	WholeBlood	0.419131826
GTEX-111YS-0008-SM-5Q5BH	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.736648611
GTEX-111YS-0126-SM-5987T	0.01682	Adrenal Gland	Adrenal_GD	Adrenal_GD	0.477950712
GTEX-111YS-0326-SM-5GZZ3	0	Heart	Heart_AA	Heart_AtrialAppendage	0.556241101
GTEX-111YS-0426-SM-5987O	0	Heart	Heart_LV	Heart_LeftVentricle	0.276995422
GTEX-111YS-0526-SM-5GZXJ	0	Blood Vessel	ArteryAorta	ArteryAorta	0.477760129
GTEX-111YS-0626-SM-5GZXV	0	Lung	Lung	Lung	0.443643228
GTEX-111YS-0726-SM-5GZY8	0	Thyroid	Thyroid	Thyroid	0.391329636
GTEX-111YS-0826-SM-5GZYK	0	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.509760296
GTEX-111YS-0926-SM-5EGGI	0.1738	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.77628675
GTEX-111YS-1026-SM-5GZYE	0	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.540591378
GTEX-111YS-1126-SM-5GZYQ	0.1138	Stomach	Stomach	Stomach	0.553891432
GTEX-111YS-1226-SM-5EGGJ	0	Pancreas	Pancreas	Pancreas	0.54414542
GTEX-111YS-1326-SM-5EGGK	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.507445899
GTEX-111YS-1426-SM-5GID8	0.8629	Small Intestine	Small_Intestine	Small_Intestine	0.554196099
GTEX-111YS-1526-SM-5GZYW	0	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.57504387
GTEX-111YS-1626-SM-5GZZ9	0	Colon	Colon_Transverse	Colon_Transverse	0.561602181
GTEX-111YS-1726-SM-5GIED	0.0127	Prostate	Prostate	Prostate	0.491238597
GTEX-111YS-1826-SM-5GIEP	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.594193342
GTEX-111YS-1926-SM-5GICC	0.03028	Breast	Breast	Breast_MammaryTissue	0.623535726
GTEX-111YS-2026-SM-5EGGL	2.976	Testis	Testis	Testis	0.82697426
GTEX-111YS-2126-SM-5EGGM	0	Nerve	NerveTibial	Nerve_Tibial	0.298279596
GTEX-111YS-2226-SM-5987P	0	Blood Vessel	ArteryTibial	ArteryTibial	0.505237267
GTEX-111YS-2326-SM-5987L	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.47651477
GTEX-111YS-2426-SM-5GZZQ	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.637215744
GTEX-1122O-0003-SM-5Q5DL	0.6791	Blood	EBV_Trans_Lymphocytes	EBV_Trans_Lymphocytes	0.883335749
GTEX-1122O-0005-SM-5O99J	0.06366	Blood	WholeBlood	WholeBlood	0.389285165
GTEX-1122O-0008-SM-5QGR2	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.492093812
GTEX-1122O-0126-SM-5GICA	0.02205	Lung	Lung	Lung	0.371944003
GTEX-1122O-0226-SM-5N9DA	0	Thyroid	Thyroid	Thyroid	0.22030385
GTEX-1122O-0326-SM-5H124	0	Adrenal Gland	Adrenal_GD	Adrenal_GD	0.502634241
GTEX-1122O-0426-SM-5H12G	0	Blood Vessel	ArteryCoronary	ArteryCoronary	0.529076961
GTEX-1122O-0526-SM-5N9DM	0.3877	Spleen	Spleen	Spleen	0.501020393
GTEX-1122O-0626-SM-5N9B9	0	Heart	Heart_AA	Heart_AtrialAppendage	0.490018159
GTEX-1122O-0726-SM-5GIEV	0.005809	Pancreas	Pancreas	Pancreas	0.477892113
GTEX-1122O-0826-SM-5GICV	0	Heart	Heart_LV	Heart_LeftVentricle	0.211297777
GTEX-1122O-0926-SM-5N9C9	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.573214351
GTEX-1122O-1126-SM-5NQ8X	0	Blood Vessel	ArteryAorta	ArteryAorta	0.539610497
GTEX-1122O-1226-SM-5H113	0.05821	Breast	Breast	Breast_MammaryTissue	0.552006418
GTEX-1122O-1326-SM-5H11F	1.584	Small Intestine	Small_Intestine	Small_Intestine	0.592568476
GTEX-1122O-1426-SM-5H11R	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.307749312
GTEX-1122O-1526-SM-5N9CL	0.9081	Colon	Colon_Transverse	Colon_Transverse	0.583869709
GTEX-1122O-1626-SM-5N9CX	0.03434	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.538879416
GTEX-1122O-1726-SM-5GICM	0.02957	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.670000851
GTEX-1122O-1826-SM-5EGIP	0	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.553263141
GTEX-1122O-1926-SM-5EGIQ	0.2085	Stomach	Stomach	Stomach	0.596509421
GTEX-1122O-2026-SM-5NQ91	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.549394381
GTEX-1122O-2126-SM-5EGIR	0.23	Skin	Skin_SunExposed	Skin_SunExposed	0.624341722
GTEX-1122O-2426-SM-5GIDN	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.544509479
GTEX-1128S-0005-SM-5P9HI	0.03481	Blood	WholeBlood	WholeBlood	0.439387885
GTEX-1128S-0008-SM-5Q5DP	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.591756248
GTEX-1128S-0126-SM-5H12S	0	Thyroid	Thyroid	Thyroid	0.191918348
GTEX-1128S-0326-SM-5GZZF	0.01388	Blood Vessel	ArteryAorta	ArteryAorta	0.269692646
GTEX-1128S-0726-SM-5N9D6	0	Lung	Lung	Lung	0.391815564
GTEX-1128S-0826-SM-5GZZI	0	Pancreas	Pancreas	Pancreas	0.200954434
GTEX-1128S-0926-SM-5GZZU	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.520571289
GTEX-1128S-1626-SM-5H12O	1.089	Colon	Colon_Transverse	Colon_Transverse	0.65978543
GTEX-1128S-2126-SM-5H12U	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.555534435
GTEX-1128S-2326-SM-5GZZY	0.4587	Skin	Skin_SunExposed	Skin_SunExposed	0.577081477
GTEX-1128S-2426-SM-5H11B	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.119218744
GTEX-1128S-2526-SM-5H11N	0.01414	Blood Vessel	ArteryTibial	ArteryTibial	0.530399791
GTEX-1128S-2626-SM-5H11Z	0	Pituitary	Pituitary	Pituitary	0.189912906
GTEX-1128S-2726-SM-5H12C	0.03628	Brain	Brain_Cortex	Brain_Cortex	0.465248561
GTEX-1128S-2826-SM-5N9DI	0	Brain	Brain_Cerebellum	Brain_Cerebellum	0.625801813
GTEX-113IC-0006-SM-5NQ9C	0.1422	Blood	WholeBlood	WholeBlood	0.56920756
