SampleID	EXTEND	TERT	Time	MeanEXTEND	MeanTERT
Liver.04wpc.1	0.633917909	0.677195362	W04.1	0.68	0.71
Liver.04wpc.2	0.70946125	0.762249125	W04.2	0.68	0.71
Liver.04wpc.3	0.782418867	1.132488766	W04.3	0.68	0.71
Liver.04wpc.4	0.584856327	0.276093616	W04.4	0.68	0.71
Liver.05wpc.5	0.549939822	0.24824383	W05.5	0.56	0.19
Liver.05wpc.6	0.577184611	0.137094598	W05.6	0.56	0.19
Liver.06wpc.7	0.624094087	0.778854651	W06.7	0.66	1.03
Liver.06wpc.8	0.700420865	1.288480457	W06.8	0.66	1.03
Liver.07wpc.09	0.695985167	0.735513699	W07.09	0.71	0.67
Liver.07wpc.10	0.732219379	0.721810944	W07.10	0.71	0.67
Liver.07wpc.11	0.722800698	0.651044996	W07.11	0.71	0.67
Liver.07wpc.12	0.706049297	0.58325333	W07.12	0.71	0.67
Liver.08wpc.13	0.786561223	0.925797016	W08.13	0.79	1.23
Liver.08wpc.14	0.823564138	1.022950367	W08.14	0.79	1.23
Liver.08wpc.15	0.762186289	1.150743057	W08.15	0.79	1.23
Liver.08wpc.16	0.783874252	1.82087321	W08.16	0.79	1.23
Liver.09wpc.17	0.70755716	0.978238113	W09.17	0.75	1.04
Liver.09wpc.18	0.731955507	1.015985566	W09.18	0.75	1.04
Liver.09wpc.19	0.799505626	1.126884905	W09.19	0.75	1.04
Liver.10wpc.20	0.747498008	0.701281645	W10.20	0.73	0.94
Liver.10wpc.21	0.716163451	1.166672277	W10.21	0.73	0.94
Liver.10wpc.22	0.741636821	1.237667395	W10.22	0.73	0.94
Liver.10wpc.23	0.713219058	0.668174174	W10.23	0.73	0.94
Liver.11wpc.24	0.639213479	0.501499712	W11.24	0.68	0.77
Liver.11wpc.25	0.682488279	0.728592786	W11.25	0.68	0.77
Liver.11wpc.26	0.729769658	1.084810389	W11.26	0.68	0.77
Liver.12wpc.27	0.689660975	0.493769454	W12.27	0.69	0.49
Liver.13wpc.28	0.703231662	0.514832377	W13.28	0.7	0.51
Liver.16wpc.29	0.671731811	0.44387674	W16.29	0.7	0.37
Liver.16wpc.30	0.720040504	0.295600595	W16.30	0.7	0.37
Liver.18wpc.31	0.585535069	0.388214323	W18.31	0.66	0.44
Liver.18wpc.32	0.708742694	0.336681676	W18.32	0.66	0.44
Liver.18wpc.33	0.68136925	0.582471864	W18.33	0.66	0.44
Liver.19wpc.34	0.708338803	0.424430849	W19.34	0.65	0.26
Liver.19wpc.36	0.593830646	0.101344298	W19.36	0.65	0.26
Liver.20wpc.35	0.677283798	0.152222772	W20.35	0.68	0.15
Liver.20wpc.37	0.692473162	0.14762941	W20.37	0.68	0.15
Liver.38.Newborn	0.361629042	0.0828589	W38.Newborn	0.34	0.17
Liver.39.Newborn	0.312364062	0.266638577	W39.Newborn	0.34	0.17
Liver.40.Infant	0.194226769	0	W40.Infant	0.19	0
Liver.42.Todd	0.009587794	0	W42.Todd	0.01	0
Liver.43.School	0.238158909	0	W43.School	0.24	0
Liver.44.Teen	0.151920468	0	W44.Teen	0.15	0
Liver.45.YngAdult	0.205732338	0	W45.YngAdult	0.12	0.01
Liver.46.YngAdult	0.001665439	0	W46.YngAdult	0.12	0.01
Liver.47.YngAdult	0.16051555	0.015167565	W47.YngAdult	0.12	0.01
Liver.48.OldMid	0.121759122	0	W48.OldMid	0.12	0
Liver.49.Senior	0	0	W49.Senior	0.11	0
Liver.50.Senior	0.223414504	0	W50.Senior	0.11	0
