Cancer	Coef	Se_Coeff	Z_Score	Pvalue	Exp_Coef	Exp_NegCoeff	Lower_95	Upper_95
ACC	1.440344913	0.441612687	3.261556914	0.001108022	4.22215184	0.236846053	1.776775049	10.03310248
BLCA	-0.047681799	0.150251785	-0.317345975	0.750981095	0.953437123	1.048836862	0.710227536	1.279931151
BRCA	0.261543557	0.162948997	1.605063923	0.108479738	1.298933518	0.769862342	0.943809807	1.787678272
CESC	0.140355838	0.237165432	0.59180563	0.553980753	1.150683182	0.86904894	0.722903262	1.831603004
CHOL	-0.03607996	0.477301188	-0.0755916	0.93974402	0.964563164	1.036738741	0.378487172	2.458160185
CRC	-0.25442804	0.225440826	-1.128580147	0.25907499	0.775359846	1.289723739	0.498434078	1.206143234
DLBC	-0.775620924	0.831021969	-0.933333838	0.350647629	0.460417808	2.171940318	0.090320208	2.347033537
ESCA	0.021361531	0.227436147	0.093923201	0.925170164	1.021591322	0.978865011	0.654158812	1.595405901
GBM	0.064928952	0.174878448	0.371280466	0.710428646	1.067083207	0.937134043	0.757428218	1.503332652
HNSC	-0.230999849	0.137738464	-1.677090347	0.093524816	0.793739586	1.259859049	0.60594729	1.039731577
KICH	2.186920932	1.062091985	2.059069235	0.039487607	8.907743297	0.112261879	1.110998202	71.4203592
KIRC	0.110055057	0.153943833	0.714903963	0.474668388	1.116339531	0.895784815	0.825579832	1.509501442
KIRP	1.104243723	0.363965009	3.033928254	0.002413918	3.016941962	0.331461464	1.478289113	6.157076259
LAML	0.069132427	0.197639259	0.349790965	0.72649558	1.071578106	0.933203091	0.727432984	1.578536665
LGG	0.077644236	0.329826323	0.235409459	0.813890945	1.080738103	0.925293554	0.566202507	2.062857073
LIHC	0.28984614	0.176472636	1.642442404	0.100498353	1.336221881	0.748378704	0.945507111	1.888392902
LUAD	0.302128953	0.149757502	2.017454549	0.0436481	1.352735655	0.739242731	1.008646813	1.814206646
LUSC	-0.238679232	0.141236607	-1.689924713	0.091042359	0.7876675	1.269571234	0.597203176	1.038876074
OV	-0.093696742	0.148491889	-0.630988955	0.528047746	0.910558855	1.098226649	0.680630642	1.218160596
PAAD	0.376689507	0.218875857	1.721018989	0.085247378	1.45745171	0.686129079	0.949044784	2.238214174
PCPG	1.768219392	1.081485209	1.634991747	0.102050778	5.860408973	0.170636555	0.703665155	48.80786423
PRAD	1.425378127	0.792931631	1.797605331	0.072239573	4.159430338	0.240417538	0.879203134	19.67788794
SARC	0.549578674	0.208243505	2.639115564	0.008312264	1.732522908	0.577192945	1.151918606	2.605770591
SKCM	0.237667706	0.1374824	1.728713678	0.083860352	1.268287678	0.78846465	0.968707232	1.660515769
STAD	-0.564511014	0.167889862	-3.362388924	0.000772712	0.568638135	1.758587648	0.409192695	0.790212857
TGCT	0.890467567	1.17235476	0.759554699	0.447520806	2.436268503	0.410463789	0.244802005	24.24573372
THCA	0.468708411	0.516863811	0.906831551	0.364495882	1.597928993	0.625810036	0.580232704	4.400608671
THYM	-1.60423203	0.811614782	-1.976592917	0.048087663	0.201043891	4.974038223	0.040967846	0.986594379
UCEC	-0.128832734	0.353748247	-0.364193281	0.715713684	0.879121	1.137499844	0.439478467	1.758570193
UCS	-0.28274632	0.340592449	-0.830160273	0.406448173	0.753710965	1.326768545	0.386626854	1.469324267
UVM	0.739790786	0.455122685	1.625475527	0.104061274	2.095497061	0.477213745	0.858787915	5.11314593
