Gene	Cancer	Corr	Pvalue	FDR	Significance	Pathway	Genes	GeneOrder	GeneOrder2
CCND1	ACC	0.179908699	0.114892326	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	ACC	0.027150065	0.813124382	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	ACC	0.293643066	0.009292213	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	ACC	0.298372514	0.00818047	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	ACC	-0.066401952	0.562774937	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	BLCA	-0.197995247	4.26E-05	0.056823036	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	BLCA	0.342476531	4.39E-13	5.85E-10	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	BLCA	-0.082065103	0.091851196	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	BLCA	0.224575613	3.28E-06	0.004370231	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	BLCA	-0.140676895	0.003768408	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	BRCA	0.116378456	5.80E-05	0.077345794	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	BRCA	0.37767934	1.42E-41	1.89E-38	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	BRCA	-0.184678328	1.42E-10	1.89E-07	2	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	BRCA	0.158408228	4.22E-08	5.63E-05	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	BRCA	-0.238496385	7.93E-17	1.06E-13	2	CellCycle	RB1	5.RB1	13.RB1
CCND1	CESC	-0.245090815	1.54E-05	0.020542332	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	CESC	0.166865499	0.003452022	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	CESC	-0.087063766	0.128549741	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	CESC	0.057248787	0.318010337	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	CESC	0.100766954	0.078420667	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	CHOL	0.032411067	0.832256088	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	CHOL	0.551515152	0.000112023	0.149326576	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	CHOL	0.024769433	0.871498451	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	CHOL	0.54571805	0.000135735	0.180935161	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	CHOL	0.1914361	0.207079575	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	CRC	0.244941588	4.47E-07	0.000595603	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	CRC	0.559947625	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	CRC	0.160307106	0.001033276	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	CRC	0.091919834	0.060738581	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	CRC	0.162654361	0.000856828	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	DLBC	-0.47915762	0.000658956	0.87838895	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	DLBC	0.405775076	0.004495529	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	DLBC	0.144811116	0.325011861	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	DLBC	0.042444637	0.773976413	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	DLBC	0.253148068	0.082693287	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	ESCA	0.014407283	0.842234237	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	ESCA	0.550045737	0	0	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	ESCA	0.091865419	0.203669277	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	ESCA	0.124477525	0.084570672	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	ESCA	0.042529112	0.556707	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	GBM	0.251231527	0.000855018	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	GBM	0.369412569	6.39E-07	0.000852398	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	GBM	0.461260286	2.19E-10	2.92E-07	2	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	GBM	0.023081523	0.76219117	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	GBM	-0.085696062	0.260593135	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	HNSC	-0.226791745	6.28E-08	8.38E-05	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	HNSC	0.509848471	2.20E-38	2.94E-35	2	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	HNSC	-0.083607604	0.047978405	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	HNSC	0.280745725	1.63E-11	2.18E-08	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	HNSC	0.038297544	0.36556959	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	KICH	0.253081376	0.01693343	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	KICH	0.391896493	0.000164135	0.218791561	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	KICH	-0.097769833	0.361357877	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	KICH	0.301685393	0.004203375	1	NA	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	KICH	-0.21268301	0.045561039	1	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	KIRC	0.189633084	3.87E-06	0.005164021	2	CellCycle	CCND1	1.CCND1	1.CCND1
CDK4	KIRC	0.103299545	0.012275734	1	NA	CellCycle	CDK4	2.CDK4	10.CDK4
CDK6	KIRC	0.025753365	0.53346331	1	NA	CellCycle	CDK6	3.CDK6	11.CDK6
CDKN2A	KIRC	0.179852913	1.17E-05	0.015532021	2	CellCycle	CDKN2A	4.CDKN2A	12.CDKN2A
RB1	KIRC	0.150457211	0.000253829	0.338354701	NA	CellCycle	RB1	5.RB1	13.RB1
CCND1	KIRP	0.116076648	0.038614363	1	NA	CellCycle	CCND1	1.CCND1	1.CCND1
