SampleID	Cancer	Groups	EXTENDScores
TCGA-05-4244-01	LUAD	TERT expr	0.424247794
TCGA-05-4249-01	LUAD	TERT expr	0.318901537
TCGA-05-4382-01	LUAD	TERT expr	0.291871505
TCGA-05-4384-01	LUAD	TERT expr	0.242199829
TCGA-05-4389-01	LUAD	TERT expr	0.442690373
TCGA-05-4390-01	LUAD	TERT expr	0.468966823
TCGA-05-4395-01	LUAD	TERT expr	0.456871999
TCGA-05-4396-01	LUAD	TERT expr	0.405153396
TCGA-05-4397-01	LUAD	TERT expr	0.516011735
TCGA-05-4398-01	LUAD	TERT expr	0.48849809
TCGA-05-4402-01	LUAD	TERT expr	0.672414105
TCGA-05-4405-01	LUAD	TERT expr	0.296859366
TCGA-05-4410-01	LUAD	TERT expr	0.339636616
TCGA-05-4415-01	LUAD	TERT expr	0.662161464
TCGA-05-4417-01	LUAD	TERT expr	0.292567832
TCGA-05-4418-01	LUAD	TERT expr	0.367882692
TCGA-05-4420-01	LUAD	TERT expr	0.402273843
TCGA-05-4422-01	LUAD	TERT expr	0.384800518
TCGA-05-4425-01	LUAD	TERT expr	0.357073462
TCGA-05-4426-01	LUAD	TERT expr	0.333160172
TCGA-05-4427-01	LUAD	TERT expr	0.455379523
TCGA-05-4430-01	LUAD	TERT expr	0.249889363
TCGA-05-4432-01	LUAD	TERT expr	0.385222909
TCGA-05-4434-01	LUAD	TERT expr	0.321172317
TCGA-05-5423-01	LUAD	TERT expr	0.245365915
TCGA-05-5429-01	LUAD	TERT expr	0.338845078
TCGA-05-5715-01	LUAD	TERT expr	0.290388707
TCGA-18-3407-01	LUSC	TERT expr	0.433843155
TCGA-18-3410-01	LUSC	TERT expr	0.828287675
TCGA-18-3411-01	LUSC	TERT expr	0.481652754
TCGA-18-3412-01	LUSC	TERT expr	0.489676626
TCGA-18-3414-01	LUSC	TERT expr	0.486457443
TCGA-18-3416-01	LUSC	TERT expr	0.549969048
TCGA-18-3417-01	LUSC	TERT expr	0.427906933
TCGA-18-3419-01	LUSC	TERT expr	0.534955694
TCGA-18-3421-01	LUSC	TERT expr	0.536352161
TCGA-18-4083-01	LUSC	TERT expr	0.680054601
TCGA-18-4086-01	LUSC	TERT expr	0.459882746
TCGA-18-4721-01	LUSC	TERT expr	0.440325056
TCGA-18-5592-01	LUSC	TERT expr	0.594719801
TCGA-21-1071-01	LUSC	TERT expr	0.44874523
TCGA-21-1076-01	LUSC	TERT expr	0.39587347
TCGA-21-1076-01	LUSC	TERT expr	0.378162314
TCGA-21-1081-01	LUSC	TERT expr	0.489833033
TCGA-21-5782-01	LUSC	TERT expr	0.408330931
TCGA-21-5784-01	LUSC	TERT expr	0.286671197
TCGA-21-5786-01	LUSC	TERT expr	0.457352442
TCGA-21-5787-01	LUSC	TERT expr	0.47996047
TCGA-22-0944-01	LUSC	TERT expr	0.578696212
TCGA-22-1002-01	LUSC	TERT expr	0.341119197
TCGA-22-1011-01	LUSC	TERT expr	0.420470332
TCGA-22-1012-01	LUSC	TERT expr	0.64378107
TCGA-22-1016-01	LUSC	TERT expr	0.390785461
TCGA-22-4591-01	LUSC	TERT expr	0.573931042
TCGA-22-4593-01	LUSC	TERT expr	0.574433139
TCGA-22-4595-01	LUSC	TERT expr	0.438058205
TCGA-22-4601-01	LUSC	TERT expr	0.411099557
TCGA-22-4604-01	LUSC	TERT expr	0.46586396
TCGA-22-4607-01	LUSC	TERT expr	0.47118273
TCGA-22-4613-01	LUSC	TERT expr	0.547379578
TCGA-22-5471-01	LUSC	TERT expr	0.499383278
TCGA-22-5472-01	LUSC	TERT expr	0.405984637
TCGA-22-5473-01	LUSC	TERT expr	0.485207742
TCGA-22-5474-01	LUSC	TERT expr	0.447990202
TCGA-22-5477-01	LUSC	TERT expr	0.558906336
TCGA-22-5478-01	LUSC	TERT expr	0.38811418
TCGA-22-5480-01	LUSC	TERT expr	0.457041683
TCGA-22-5482-01	LUSC	TERT expr	0.510128559
TCGA-22-5485-01	LUSC	TERT expr	0.529110991
TCGA-22-5489-01	LUSC	TERT expr	0.476903902
TCGA-22-5491-01	LUSC	TERT expr	0.479437343
TCGA-22-5492-01	LUSC	TERT expr	0.473897248
TCGA-2A-A8VL-01	PRAD	TERT expr	0.229305199
TCGA-2A-A8VO-01	PRAD	TERT expr	0.320122328
TCGA-2A-A8VT-01	PRAD	TERT expr	0.314147982
TCGA-2A-A8VV-01	PRAD	TERT expr	0.312189508
TCGA-2A-A8VX-01	PRAD	TERT expr	0.44198652
TCGA-2A-A8W1-01	PRAD	TERT expr	0.414252181
TCGA-2A-A8W3-01	PRAD	TERT expr	0.339871178
TCGA-2F-A9KO-01	BLCA	TERT expr	0.543618885
TCGA-2F-A9KP-01	BLCA	TERT expr	0.637425156
TCGA-2F-A9KQ-01	BLCA	TERT expr	0.515426377
TCGA-2F-A9KR-01	BLCA	TERT expr	0.424029426
TCGA-2F-A9KT-01	BLCA	TERT expr	0.60110365
TCGA-2F-A9KW-01	BLCA	TERT expr	0.739244039
TCGA-2H-A9GF-01	ESCA	TERT expr	0.491250877
TCGA-2H-A9GH-01	ESCA	TERT expr	0.511467859
TCGA-2H-A9GI-01	ESCA	TERT expr	0.493820151
TCGA-2H-A9GJ-01	ESCA	TERT expr	0.45539089
TCGA-2H-A9GK-01	ESCA	TERT expr	0.334879727
TCGA-2H-A9GL-01	ESCA	TERT expr	0.729500582
TCGA-2H-A9GM-01	ESCA	TERT expr	0.406601749
TCGA-2H-A9GN-01	ESCA	TERT expr	0.677752763
TCGA-2H-A9GO-01	ESCA	TERT expr	0.616312992
TCGA-2H-A9GQ-01	ESCA	TERT expr	0.740354073
TCGA-2H-A9GR-01	ESCA	TERT expr	0.543404109
TCGA-2J-AAB1-01	PAAD	TERT expr	0.287284042
TCGA-2J-AAB4-01	PAAD	TERT expr	0.22095301
TCGA-2J-AAB6-01	PAAD	TERT expr	0.354801622
TCGA-2J-AAB8-01	PAAD	TERT expr	0.273567282
TCGA-2J-AAB9-01	PAAD	TERT expr	0.207589236
TCGA-2J-AABE-01	PAAD	TERT expr	0.22191077
TCGA-2J-AABF-01	PAAD	TERT expr	0.293268027
TCGA-2J-AABH-01	PAAD	TERT expr	0.218839037
TCGA-2J-AABK-01	PAAD	TERT expr	0.227600054
TCGA-2J-AABO-01	PAAD	TERT expr	0.216930703
TCGA-2J-AABR-01	PAAD	TERT expr	0.224942725
TCGA-2J-AABU-01	PAAD	TERT expr	0.316959585
TCGA-2L-AAQA-01	PAAD	TERT expr	0.469784509
TCGA-2L-AAQE-01	PAAD	TERT expr	0.296404098
TCGA-2L-AAQJ-01	PAAD	TERT expr	0.282157829
TCGA-2L-AAQL-01	PAAD	TERT expr	0.20566537
TCGA-33-4532-01	LUSC	TERT expr	0.689824728
TCGA-33-4533-01	LUSC	TERT expr	0.445489462
TCGA-33-4547-01	LUSC	TERT expr	0.416228442
TCGA-33-4566-01	LUSC	TERT expr	0.518137401
TCGA-33-4582-01	LUSC	TERT expr	0.538640223
TCGA-33-4586-01	LUSC	TERT expr	0.461829168
TCGA-34-2596-01	LUSC	TERT expr	0.39486263
TCGA-34-2600-01	LUSC	TERT expr	0.534217084
TCGA-34-2608-01	LUSC	TERT expr	0.273592566
TCGA-34-5231-01	LUSC	TERT expr	0.578051049
TCGA-34-5232-01	LUSC	TERT expr	0.432813235
TCGA-34-5236-01	LUSC	TERT expr	0.488966311
TCGA-34-5239-01	LUSC	TERT expr	0.507723079
TCGA-34-5240-01	LUSC	TERT expr	0.416058505
TCGA-34-5241-01	LUSC	TERT expr	0.383544292
TCGA-34-5927-01	LUSC	TERT expr	0.579052918
TCGA-34-5928-01	LUSC	TERT expr	0.379210499
TCGA-34-5929-01	LUSC	TERT expr	0.534677645
TCGA-35-4123-01	LUAD	TERT expr	0.407708992
TCGA-37-3783-01	LUSC	TERT expr	0.503213999
TCGA-37-3789-01	LUSC	TERT expr	0.401494314
TCGA-37-4133-01	LUSC	TERT expr	0.470092944
TCGA-37-4135-01	LUSC	TERT expr	0.626350273
TCGA-37-4141-01	LUSC	TERT expr	0.55084294
TCGA-37-5819-01	LUSC	TERT expr	0.545515644
TCGA-38-4625-01	LUAD	TERT expr	0.507982622
TCGA-38-4626-01	LUAD	TERT expr	0.194222465
TCGA-38-4627-01	LUAD	TERT expr	0.227445421
TCGA-38-4628-01	LUAD	TERT expr	0.295937853
TCGA-38-6178-01	LUAD	TERT expr	0.348848753
TCGA-38-A44F-01	LUAD	TERT expr	0.166548875
TCGA-39-5016-01	LUSC	TERT expr	0.470397392
TCGA-39-5019-01	LUSC	TERT expr	0.421049769
TCGA-39-5021-01	LUSC	TERT expr	0.6006743
TCGA-39-5022-01	LUSC	TERT expr	0.342313078
TCGA-39-5024-01	LUSC	TERT expr	0.466732162
TCGA-39-5027-01	LUSC	TERT expr	0.546687671
TCGA-39-5028-01	LUSC	TERT expr	0.259824069
TCGA-39-5029-01	LUSC	TERT expr	0.394555581
TCGA-39-5030-01	LUSC	TERT expr	0.390332487
TCGA-39-5031-01	LUSC	TERT expr	0.412822512
TCGA-39-5035-01	LUSC	TERT expr	0.535935158
TCGA-39-5036-01	LUSC	TERT expr	0.372573793
TCGA-39-5037-01	LUSC	TERT expr	0.552129522
TCGA-3A-A9I5-01	PAAD	TERT expr	0.272563591
TCGA-3A-A9I7-01	PAAD	TERT expr	0.198156571
TCGA-3A-A9I9-01	PAAD	TERT expr	0.169265022
TCGA-3A-A9IB-01	PAAD	TERT expr	0.209737354
TCGA-3A-A9IC-01	PAAD	TERT expr	0.274032193
TCGA-3A-A9IH-01	PAAD	TERT expr	0.232164891
TCGA-3A-A9IU-01	PAAD	TERT expr	0.245903521
TCGA-3A-A9IX-01	PAAD	TERT expr	0.161085206
TCGA-3A-A9IZ-01	PAAD	TERT expr	0.415806541
TCGA-3A-A9J0-01	PAAD	TERT expr	0.369081674
TCGA-3E-AAAY-01	PAAD	TERT expr	0.245356638
TCGA-3E-AAAZ-01	PAAD	TERT expr	0.375178993
TCGA-43-2578-01	LUSC	TERT expr	0.442311808
TCGA-43-3394-01	LUSC	TERT expr	0.45938015
TCGA-43-3920-01	LUSC	TERT expr	0.38804341
TCGA-43-5668-01	LUSC	TERT expr	0.383950983
TCGA-43-6143-01	LUSC	TERT expr	0.655667441
TCGA-43-6647-01	LUSC	TERT expr	0.402260273
TCGA-43-6770-01	LUSC	TERT expr	0.558387638
TCGA-44-2656-01	LUAD	TERT expr	0.341910381
TCGA-44-2657-01	LUAD	TERT expr	0.275023075
TCGA-44-2659-01	LUAD	TERT expr	0.31110678
TCGA-44-2662-01	LUAD	TERT expr	0.540546669
TCGA-44-2665-01	LUAD	TERT expr	0.265972389
TCGA-44-2666-01	LUAD	TERT expr	0.408474526
TCGA-44-2668-01	LUAD	TERT expr	0.373999928
TCGA-44-3396-01	LUAD	TERT expr	0.43970452
TCGA-44-3398-01	LUAD	TERT expr	0.24469853
TCGA-44-3918-01	LUAD	TERT expr	0.289086247
TCGA-44-3919-01	LUAD	TERT expr	0.363008532
TCGA-44-5643-01	LUAD	TERT expr	0.486340152
TCGA-44-5644-01	LUAD	TERT expr	0.563136367
TCGA-44-5645-01	LUAD	TERT expr	0.26556415
TCGA-44-6146-01	LUAD	TERT expr	0.294961996
TCGA-44-6148-01	LUAD	TERT expr	0.198206919
TCGA-44-6774-01	LUAD	TERT expr	0.32172489
TCGA-44-6775-01	LUAD	TERT expr	0.305627034
TCGA-44-6776-01	LUAD	TERT expr	0.290441853
TCGA-44-6777-01	LUAD	TERT expr	0.258412072
TCGA-44-6778-01	LUAD	TERT expr	0.387392452
TCGA-44-7659-01	LUAD	TERT expr	0.320296515
TCGA-44-7660-01	LUAD	TERT expr	0.559928882
TCGA-44-7661-01	LUAD	TERT expr	0.364664384
TCGA-44-7662-01	LUAD	TERT expr	0.469594825
TCGA-44-7667-01	LUAD	TERT expr	0.684958128
TCGA-44-7669-01	LUAD	TERT expr	0.656943445
TCGA-44-7670-01	LUAD	TERT expr	0.51352583
TCGA-44-7671-01	LUAD	TERT expr	0.270609637
TCGA-44-7672-01	LUAD	TERT expr	0.332943701
TCGA-44-8117-01	LUAD	TERT expr	0.484445235
TCGA-44-8119-01	LUAD	TERT expr	0.480415159
TCGA-44-8120-01	LUAD	TERT expr	0.273747698
TCGA-44-A479-01	LUAD	TERT expr	0.388609923
TCGA-44-A47A-01	LUAD	TERT expr	0.406055864
TCGA-44-A47B-01	LUAD	TERT expr	0.419214869
TCGA-44-A4SS-01	LUAD	TERT expr	0.366306604
TCGA-44-A4SU-01	LUAD	TERT expr	0.283231743
TCGA-46-3765-01	LUSC	TERT expr	0.507204043
TCGA-46-3766-01	LUSC	TERT expr	0.342970091
TCGA-46-3767-01	LUSC	TERT expr	0.269389561
TCGA-46-3768-01	LUSC	TERT expr	0.511144342
TCGA-46-3769-01	LUSC	TERT expr	0.416811489
TCGA-46-6025-01	LUSC	TERT expr	0.406612606
TCGA-46-6026-01	LUSC	TERT expr	0.629300567
TCGA-49-4486-01	LUAD	TERT expr	0.290114051
TCGA-49-4490-01	LUAD	TERT expr	0.241681283
TCGA-49-4494-01	LUAD	TERT expr	0.394113838
TCGA-49-4505-01	LUAD	TERT expr	0.204296383
TCGA-49-4506-01	LUAD	TERT expr	0.465372921
TCGA-49-4507-01	LUAD	TERT expr	0.430464107
TCGA-49-4510-01	LUAD	TERT expr	0.198512063
TCGA-49-4512-01	LUAD	TERT expr	0.272569594
TCGA-49-4514-01	LUAD	TERT expr	0.438168976
TCGA-49-6742-01	LUAD	TERT expr	0.37427338
TCGA-49-6743-01	LUAD	TERT expr	0.470060603
TCGA-49-6744-01	LUAD	TERT expr	0.215131652
TCGA-49-6745-01	LUAD	TERT expr	0.340970552
TCGA-49-6761-01	LUAD	TERT expr	0.367764584
TCGA-49-6767-01	LUAD	TERT expr	0.468695585
TCGA-4C-A93U-01	THCA	TERT expr	0.302100131
TCGA-4P-AA8J-01	HNSC	TERT expr	0.344769477
TCGA-4Z-AA7M-01	BLCA	TERT expr	0.712093154
TCGA-4Z-AA7N-01	BLCA	TERT expr	0.330678785
TCGA-4Z-AA7O-01	BLCA	TERT expr	0.544825472
TCGA-4Z-AA7Q-01	BLCA	TERT expr	0.521648328
TCGA-4Z-AA7R-01	BLCA	TERT expr	0.606180486
TCGA-4Z-AA7S-01	BLCA	TERT expr	0.572350346
TCGA-4Z-AA7W-01	BLCA	TERT expr	0.537390275
TCGA-4Z-AA7Y-01	BLCA	TERT expr	0.561387775
TCGA-4Z-AA80-01	BLCA	TERT expr	0.710175743
TCGA-4Z-AA81-01	BLCA	TERT expr	0.621937008
TCGA-4Z-AA82-01	BLCA	TERT expr	0.4845738
TCGA-4Z-AA83-01	BLCA	TERT expr	0.431247941
TCGA-4Z-AA84-01	BLCA	TERT expr	0.669321527
TCGA-4Z-AA86-01	BLCA	TERT expr	0.672310374
TCGA-4Z-AA87-01	BLCA	TERT expr	0.722088985
TCGA-4Z-AA89-01	BLCA	TERT expr	0.519610179
TCGA-50-5045-01	LUAD	TERT expr	0.316821617
TCGA-50-5049-01	LUAD	TERT expr	0.327992348
TCGA-50-5051-01	LUAD	TERT expr	0.478795217
TCGA-50-5055-01	LUAD	TERT expr	0.263596247
TCGA-50-5066-01	LUAD	TERT expr	0.420525479
TCGA-50-5068-01	LUAD	TERT expr	0.292940502
TCGA-50-5930-01	LUAD	TERT expr	0.353924099
TCGA-50-5931-01	LUAD	TERT expr	0.716465794
TCGA-50-5933-01	LUAD	TERT expr	0.420237233
TCGA-50-5936-01	LUAD	TERT expr	0.431352854
TCGA-50-5941-01	LUAD	TERT expr	0.331289825
TCGA-50-5944-01	LUAD	TERT expr	0.276463982
TCGA-50-5946-01	LUAD	TERT expr	0.559864942
TCGA-50-6590-01	LUAD	TERT expr	0.489311884
TCGA-50-6591-01	LUAD	TERT expr	0.53404343
TCGA-50-6592-01	LUAD	TERT expr	0.470084244
TCGA-50-6593-01	LUAD	TERT expr	0.383484557
TCGA-50-6594-01	LUAD	TERT expr	0.429695061
TCGA-50-6595-01	LUAD	TERT expr	0.429630776
TCGA-50-6597-01	LUAD	TERT expr	0.17141107
TCGA-50-6673-01	LUAD	TERT expr	0.290562791
TCGA-50-7109-01	LUAD	TERT expr	0.434076791
TCGA-50-8457-01	LUAD	TERT expr	0.30250756
TCGA-50-8459-01	LUAD	TERT expr	0.170177324
TCGA-50-8460-01	LUAD	TERT expr	0.227044032
TCGA-51-4079-01	LUSC	TERT expr	0.395431674
TCGA-51-4080-01	LUSC	TERT expr	0.524811689
TCGA-51-4081-01	LUSC	TERT expr	0.512873748
TCGA-53-7624-01	LUAD	TERT expr	0.564005124
TCGA-53-7626-01	LUAD	TERT expr	0.297637432
TCGA-53-7813-01	LUAD	TERT expr	0.441999894
TCGA-53-A4EZ-01	LUAD	TERT expr	0.512757191
TCGA-55-1592-01	LUAD	TERT expr	0.414531806
TCGA-55-1594-01	LUAD	TERT expr	0.44209295
TCGA-55-1595-01	LUAD	TERT expr	0.441863985
TCGA-55-1596-01	LUAD	TERT expr	0.579284887
TCGA-55-5899-01	LUAD	TERT expr	0.475926737
TCGA-55-6543-01	LUAD	TERT expr	0.321577508
TCGA-55-6642-01	LUAD	TERT expr	0.367944174
TCGA-55-6968-01	LUAD	TERT expr	0.686471271
TCGA-55-6969-01	LUAD	TERT expr	0.663611514
TCGA-55-6970-01	LUAD	TERT expr	0.456881006
TCGA-55-6971-01	LUAD	TERT expr	0.338048562
TCGA-55-6972-01	LUAD	TERT expr	0.495440894
TCGA-55-6975-01	LUAD	TERT expr	0.468059897
TCGA-55-6978-01	LUAD	TERT expr	0.400885005
TCGA-55-6979-01	LUAD	TERT expr	0.311444286
TCGA-55-6980-01	LUAD	TERT expr	0.197947288
TCGA-55-6981-01	LUAD	TERT expr	0.383845004
TCGA-55-6983-01	LUAD	TERT expr	0.220813158
TCGA-55-6984-01	LUAD	TERT expr	0.275563008
TCGA-55-6985-01	LUAD	TERT expr	0.315834845
TCGA-55-6987-01	LUAD	TERT expr	0.363584842
TCGA-55-7281-01	LUAD	TERT expr	0.292764328
TCGA-55-7283-01	LUAD	TERT expr	0.344518763
TCGA-55-7570-01	LUAD	TERT expr	0.714584994
TCGA-55-7573-01	LUAD	TERT expr	0.256417156
TCGA-55-7574-01	LUAD	TERT expr	0.372210125
TCGA-55-7576-01	LUAD	TERT expr	0.352907806
TCGA-55-7726-01	LUAD	TERT expr	0.385364843
TCGA-55-7727-01	LUAD	TERT expr	0.419581925
TCGA-55-7728-01	LUAD	TERT expr	0.20637069
TCGA-55-7903-01	LUAD	TERT expr	0.390682948
TCGA-55-7907-01	LUAD	TERT expr	0.324299468
TCGA-55-7910-01	LUAD	TERT expr	0.566314114
TCGA-55-7911-01	LUAD	TERT expr	0.437688201
TCGA-55-7913-01	LUAD	TERT expr	0.537261994
TCGA-55-7914-01	LUAD	TERT expr	0.447634954
