SampleID	Stemness	EXTENDScores	Phase
BT1160.P1.A01	0.454092435349576	0.275459531280572	NonCycling
BT1160.P1.A02	0.4478463482069	0.24151025249046	NonCycling
BT1160.P1.A04	0.470218166933807	0.197291833150963	NonCycling
BT1160.P1.A05	0.484233197118759	0.351229520034677	NonCycling
BT1160.P1.A06	0.53480088597312	0.186236350634809	NonCycling
BT1160.P1.A09	0.592207426248492	0.233095050332779	NonCycling
BT1160.P1.A11	0.728434129487169	0.631817752992945	G1_S
BT1160.P1.B04	0.698920059627038	0.496280398492268	G1_S
BT1160.P1.B06	0.462518522835687	0.323041855723848	NonCycling
BT1160.P1.B09	0.651971816802089	0.564146770452002	G2_M
BT1160.P1.C04	0.396519190309534	0.132554960032004	NonCycling
BT1160.P1.C07	0.466954808754642	0.354001171696345	NonCycling
BT1160.P1.C10	0.678072065370201	0.230368723529687	G1_S
BT1160.P1.C12	0.451098713207762	0.1767753379994	NonCycling
BT1160.P1.D02	0.316391722387449	0.230515043031907	NonCycling
BT1160.P1.D03	0.524506292149204	0.356890793193444	NonCycling
BT1160.P1.D04	0.651959107415052	0.594844297338986	G1_S
BT1160.P1.D05	0.616667797211413	0.429478588560876	G1_S
BT1160.P1.D06	0.630269086354081	0.37084571508235	G1_S
BT1160.P1.D07	0.50795313526678	0.291561653400466	NonCycling
BT1160.P1.D09	0.532445674592659	0.23639882447464	NonCycling
BT1160.P1.D10	0.567343869407327	0.40371300399296	NonCycling
BT1160.P1.D12	0.53529445831569	0.357186824994325	NonCycling
BT1160.P1.E01	0.560555816668551	0.430390884155461	NonCycling
BT1160.P1.E02	0.670158409881947	0.482633589516179	G1_S
BT1160.P1.E03	0.501315195367195	0.284141312567497	NonCycling
BT1160.P1.E04	0.73994238233331	0.38117010076592	G1_S
BT1160.P1.E06	0.636013422149838	0.540307604829302	G1_S
BT1160.P1.E07	0.68363028789993	0.512432324198637	G1_S
BT1160.P1.E08	0.525991953145579	0.374956518452481	NonCycling
BT1160.P1.E09	0.833191410588775	0.497932540506176	G1_S
BT1160.P1.E10	0.765688030529356	0.561368008263543	G1_S
BT1160.P1.E11	0.636580418105501	0.420332547775821	G1_S
BT1160.P1.F01	0.566976951506052	0.253453765113544	NonCycling
BT1160.P1.F04	0.837072201273381	0.449210374575833	G1_S
BT1160.P1.F05	0.670576848579561	0.414537964147656	G1_S
BT1160.P1.F06	0.700543538545364	0.608140842922136	G1_S
BT1160.P1.F07	0.593068766933193	0.218027471595357	NonCycling
BT1160.P1.F10	0.729535215181462	0.568253815918397	G1_S
BT1160.P1.G02	0.648010919505716	0.593124917383176	G2_M
BT1160.P1.G04	0.58744592420268	0.17164735703418	NonCycling
BT1160.P1.G06	0.496144478067786	0.327597157046176	NonCycling
BT1160.P1.G09	0.582411641903369	0.262982260664154	NonCycling
BT1160.P1.G10	0.683251835157135	0.369214968786027	G2_M
BT1160.P1.G11	0.756172965475129	0.401013819652895	G1_S
BT1160.P1.G12	0.447113213574096	0.316854211901613	NonCycling
BT1160.P1.H04	0.636773026355764	0.168780189970166	NonCycling
BT1160.P1.H05	0.566911248053612	0.244225770406615	NonCycling
BT1160.P1.H06	0.383488577320009	0.283156799716087	NonCycling
BT1160.P1.H08	0.484358509329448	0.180813740888315	NonCycling
BT1160.P1.H09	0.779628135456024	0.61538742400061	G1_S
BT1160.P1.H10	0.736082479642968	0.349408716373701	G1_S
BT1160.P2.A09	0.781762339475026	0.550666617228078	G1_S
BT1160.P2.B01	0.450740569455021	0.182431157720038	NonCycling
BT1160.P2.B03	0.454101516243102	0.234323850413242	NonCycling
BT1160.P2.B04	0.578350424464922	0.23773990307272	NonCycling
BT1160.P2.B05	0.402336672806129	0.237137982285744	NonCycling
BT1160.P2.B06	0.459824504375857	0.147346675522818	NonCycling
BT1160.P2.B07	0.771421298551896	0.282497041691762	G2_M
BT1160.P2.B09	0.486971140017821	0.165909837389421	NonCycling
BT1160.P2.B10	0.788717000793472	0.33254157081849	G1_S
BT1160.P2.B11	0.551721309956637	0.413262015674281	G1_S
BT1160.P2.C01	0.563183932847831	0.331683671533981	NonCycling
BT1160.P2.C03	0.78546897348396	0.514592611512411	G1_S
BT1160.P2.C05	0.514765138574082	0.341833212873088	NonCycling
BT1160.P2.C06	0.612075665824112	0.414450157736758	G1_S
BT1160.P2.C07	0.687427758069683	0.391541333780828	G1_S
BT1160.P2.C10	0.379573042598849	0.297669777779587	NonCycling
BT1160.P2.C11	0.737035023504795	0.471663203470575	G1_S
BT1160.P2.C12	0.761132514072962	0.545351312822572	G1_S
BT1160.P2.D02	0.627724805441373	0.329385120422043	G1_S
BT1160.P2.D03	0.681928215607937	0.441294696995051	G1_S
BT1160.P2.D04	0.404419063363741	0.350795736526906	NonCycling
BT1160.P2.D05	0.607477938389418	0.412611861904423	NonCycling
BT1160.P2.D07	0.401477830780153	0.261439508891419	NonCycling
BT1160.P2.D08	0.466724702455363	0.253910122121385	NonCycling
BT1160.P2.D09	0.719588649059391	0.463322695904847	G1_S
BT1160.P2.D10	0.506008850727564	0.272587642995156	NonCycling
BT1160.P2.D11	0.529785100634886	0.31624087924072	NonCycling
BT1160.P2.D12	0.653968538784906	0.587548125817561	G1_S
BT1160.P2.E02	0.444427927882877	0.35625263577811	NonCycling
BT1160.P2.E03	0.608320775128028	0.713527468436439	G1_S
BT1160.P2.E05	0.750952020291848	0.425918966990575	G1_S
BT1160.P2.E07	0.442887545261921	0.427889327144959	NonCycling
BT1160.P2.E08	0.632725078953696	0.422199218397272	G1_S
BT1160.P2.E10	0.609612329723649	0.640754962718058	G2_M
BT1160.P2.E11	0.515279102730235	0.318226764981121	NonCycling
BT1160.P2.E12	0.595254518112866	0.360557250869824	NonCycling
BT1160.P2.F01	0.552619667002652	0.259253031019525	NonCycling
BT1160.P2.F03	0.471157606125366	0.371205309473489	NonCycling
BT1160.P2.F04	0.479288616312495	0.378623735398755	NonCycling
BT1160.P2.F05	0.517527239400957	0.262566211618062	NonCycling
BT1160.P2.F08	0.483891775142367	0.239453542624562	NonCycling
BT1160.P2.F09	0.452008870859232	0.109654287564133	NonCycling
BT1160.P2.F10	0.693695483537863	0.792189990358757	G1_S
BT1160.P2.F12	0.688813348604875	0.398680654579999	G1_S
BT1160.P2.G01	0.417524911093423	0.17277375669711	NonCycling
BT1160.P2.G02	0.470065422368303	0.224093752694225	NonCycling
BT1160.P2.G03	0.535690515467482	0.160549198440239	NonCycling
BT1160.P2.G04	0.500892397313528	0.396419088817383	NonCycling
BT1160.P2.G05	0.458574048284019	0.376424463070545	NonCycling
BT1160.P2.G08	0.528291827051467	0.313088855030705	NonCycling
BT1160.P2.H02	0.530857177463588	0.293769431683605	NonCycling
BT1160.P2.H04	0.442910161996253	0.282842479847374	NonCycling
BT1160.P2.H06	0.563457478928643	0.166987465788858	NonCycling
BT1160.P2.H07	0.68798665018526	0.287410815324852	G1_S
BT1160.P2.H10	0.543057722287878	0.295756315915074	NonCycling
BT1160.P2.H11	0.436786274198068	0.472669674466995	NonCycling
BT1160.P2.H12	0.707229294106766	0.495677072205884	G1_S
BT1160.P3.A01	0.406594435168853	0.250594884427968	NonCycling
BT1160.P3.A02	0.707378572381873	0.42617111519504	G1_S
BT1160.P3.A04	0.474971543724597	0.406434537886356	NonCycling
BT1160.P3.A05	0.673758596518056	0.421019099345246	G2_M
BT1160.P3.A06	0.634804291157661	0.360538223857623	NonCycling
BT1160.P3.A07	0.50001940850838	0.320502474225017	NonCycling
BT1160.P3.A08	0.485929952908909	0.335338800752365	NonCycling
BT1160.P3.A11	0.513763732544611	0.362248180578039	NonCycling
BT1160.P3.B03	0.597443224148735	0.547674735955953	G1_S
BT1160.P3.B04	0.643797501906689	0.311799053111035	G2_M
BT1160.P3.B06	0.462007738887093	0.121023126743023	NonCycling
BT1160.P3.B09	0.735055256895063	0.274062444345438	G1_S
BT1160.P3.B10	0.529196382308028	0.267359092626524	NonCycling
BT1160.P3.B11	0.555034879067684	0.192461012886136	NonCycling
BT1160.P3.B12	0.522782955244631	0.124201511889809	NonCycling
BT1160.P3.C01	0.37656662833255	0.299334218937252	NonCycling
BT1160.P3.C04	0.566709149465003	0.116703782825595	NonCycling
BT1160.P3.C05	0.596450178190872	0.417060478129122	NonCycling
BT1160.P3.C09	0.55924113575119	0.246878646082123	G2_M
BT1160.P3.C10	0.514871862454568	0.222104790178524	NonCycling
BT1160.P3.C12	0.671091813294349	0.395184336917086	G2_M
BT1160.P3.D02	0.5449773637254	0.281311105049634	NonCycling
BT1160.P3.D03	0.483292569875777	0.293753446547782	NonCycling
BT1160.P3.D05	0.420389185655954	0.357490271544214	NonCycling
BT1160.P3.D09	0.742500121278182	0.456846269448891	G1_S
BT1160.P3.D12	0.591233778589078	0.132106726229252	NonCycling
BT1160.P3.E06	0.49479325847354	0.327846563094349	NonCycling
BT1160.P3.E07	0.515511686379259	0.383466856148828	NonCycling
BT1160.P3.E08	0.53556005017196	0.373138431347808	NonCycling
BT1160.P3.E09	0.63977732837158	0.467977020011013	G1_S
BT1160.P3.E12	0.335515585547187	0.240219471927585	NonCycling
BT1160.P3.F01	0.605607513730585	0.371259462060261	NonCycling
BT1160.P3.F05	0.410964651144496	0.251877967778128	NonCycling
BT1160.P3.F07	0.469835061426313	0.346395351079771	NonCycling
BT1160.P3.F08	0.719099334965978	0.374298140805235	G1_S
BT1160.P3.F09	0.514047629158875	0.299883668962278	NonCycling
BT1160.P3.F11	0.607709551864276	0.40882732442138	G2_M
BT1160.P3.G01	0.469958419237039	0.134999871683379	NonCycling
BT1160.P3.G03	0.8171644087729	0.520133586212256	G1_S
BT1160.P3.G07	0.481002202253992	0.145635237366856	NonCycling
BT1160.P3.G08	0.44548470041385	0.341184294223987	NonCycling
BT1160.P3.G09	0.607669806378629	0.331941147381948	G2_M
BT1160.P3.G10	0.426429571422958	0.191322797613276	NonCycling
BT1160.P3.G12	0.503793313704459	0.249565760540025	NonCycling
BT1160.P3.H01	0.551223416382386	0.260522967174154	NonCycling
BT1160.P3.H04	0.625060930188915	0.537414443460288	G1_S
BT1160.P3.H05	0.623326082450193	0.622934644176965	G1_S
BT1160.P3.H07	0.687827569173399	0.463407599465904	G1_S
BT1160.P3.H09	0.402311435206738	0.277097072946373	NonCycling
BT1160.P3.H10	0.419871935186525	0.279220932927614	NonCycling
BT1160.P3.H11	0.595484027984792	0.387024372107251	G1_S
BT1160.P3.H12	0.651309058632626	0.628289603221092	G1_S
BT1160.P4.A02	0.562588593230274	0.328041210499624	NonCycling
BT1160.P4.A03	0.776891534699072	0.360219333409983	G1_S
