Cancer	CorrMKI67	PvalueMKI67	FDRMKI67	SignificanceMKI67	EXTEND	MKI67	Corr
TGCT	0.073542586	0.362732496	1	NotSign	0.7	8.287314195	1
UCS	0.267630283	0.044455004	1	NotSign	0.5	8.004516352	1
PCPG	0.313383903	1.47E-05	0.000455671	Significant	0.2	5.160868347	3
CESC	0.413124177	3.92E-14	1.22E-12	Significant	0.6	8.40588298	3
SKCM	0.417955002	0	0	Significant	0.5	7.619197936	3
HNSC	0.456960755	0	0	Significant	0.4	8.330453458	3
LAML	0.464706046	1.71E-10	5.31E-09	Significant	0.7	8.623614779	3
KIRC	0.469451297	0	0	Significant	0.2	6.192581099	3
SARC	0.474792185	0	0	Significant	0.4	7.822080159	3
OV	0.479075978	5.80E-19	1.80E-17	Significant	0.5	7.968426481	3
LGG	0.505718385	0	0	Significant	0.3	6.3401087	3
THCA	0.514670358	1.14E-39	3.54E-38	Significant	0.2	5.288793292	3
ESCA	0.536715119	0	0	Significant	0.5	8.697796483	3
UVM	0.555344585	1.54E-07	4.76E-06	Significant	0.3	6.163455165	3
KIRP	0.562135707	0	0	Significant	0.2	5.589045377	3
BLCA	0.563069705	0	0	Significant	0.5	7.937717018	3
DLBC	0.567520625	3.59E-05	0.001114174	Significant	0.7	8.49180209	3
PRAD	0.567802287	0	0	Significant	0.3	6.009464296	3
LUSC	0.585773393	0	0	Significant	0.4	7.89042636	3
KICH	0.601072523	1.44E-10	4.48E-09	Significant	0.2	5.436580791	7
ACC	0.601841197	1.06E-08	3.30E-07	Significant	0.4	6.703776345	7
CRC	0.625972262	0	0	Significant	0.5	8.369154149	7
GBM	0.630707025	0	0	Significant	0.4	6.899227614	7
LIHC	0.675203315	0	0	Significant	0.4	6.778914915	7
PAAD	0.694251783	0	0	Significant	0.3	7.267090469	7
UCEC	0.712435427	0	0	Significant	0.5	7.721303305	7
BRCA	0.715674003	0	0	Significant	0.4	7.658178592	7
LUAD	0.741362149	0	0	Significant	0.3	7.377478945	7
STAD	0.743746285	6.22E-78	1.93E-76	Significant	0.5	8.580346866	7
CHOL	0.752832675	3.04E-08	9.42E-07	Significant	0.3	6.865562378	7
THYM	0.867015177	0	0	Significant	0.7	8.414535005	7
