Cancer	Corroriginal	Pvalue	EXTEND	Stemness	FDRoriginal	CorrRounded	Corr
KIRC	0.184636604	2.35E-05	0.230354467	0.202547966	0.00072924	0.2	1
KIRP	0.209606401	0.000341581	0.241625958	0.26298844	0.010589016	0.2	1
THCA	0.234179196	5.85E-08	0.21210128	0.241238436	1.81E-06	0.2	1
KICH	0.385708042	0.001624313	0.227941987	0.35085919	0.050353698	0.4	3
ACC	0.389623035	0.000465383	0.376581215	0.342167827	0.014426888	0.4	3
GBM	0.430336609	7.89E-10	0.365275792	0.293017664	2.45E-08	0.4	3
CESC	0.520656725	9.94E-23	0.59601201	0.46355257	3.08E-21	0.5	3
SARC	0.545315811	5.23E-22	0.381297121	0.233249021	1.62E-20	0.5	3
UCS	0.547964739	1.44E-05	0.502847352	0.349706202	0.000445265	0.5	3
PCPG	0.601295395	1.48E-20	0.205150747	0.258823027	4.59E-19	0.6	7
LIHC	0.60288523	7.10E-39	0.446951775	0.382015313	2.20E-37	0.6	7
UVM	0.607032349	3.84E-09	0.34820765	0.393938322	1.19E-07	0.6	7
SKCM	0.625274983	3.23E-53	0.492885062	0.378353759	1.00E-51	0.6	7
OV	0.628570085	3.41E-32	0.476842293	0.423819458	1.06E-30	0.6	7
LGG	0.649444291	8.03E-26	0.257681028	0.365455723	2.49E-24	0.6	7
UCEC	0.660108968	2.90E-23	0.484969693	0.423589213	8.99E-22	0.7	7
CHOL	0.666924067	1.50E-05	0.378439185	0.313882436	0.000464296	0.7	7
LAML	0.676314484	0	0.705300856	0.567110004	0	0.7	7
PAAD	0.682053624	4.26E-23	0.254326799	0.211409894	1.32E-21	0.7	7
PRAD	0.691512387	8.71E-72	0.292995242	0.30424534	2.70E-70	0.7	7
HNSC	0.695367819	2.39E-76	0.456572592	0.410171047	7.42E-75	0.7	7
BLCA	0.703876045	0	0.522847357	0.39701613	0	0.7	7
DLBC	0.728397742	3.05E-08	0.654128542	0.597624778	9.46E-07	0.7	7
LUSC	0.734678559	4.26E-84	0.481778467	0.402603962	1.32E-82	0.7	7
LUAD	0.749292665	4.70E-94	0.374631945	0.327058369	1.46E-92	0.7	7
ESCA	0.753852685	3.24E-35	0.521844987	0.434858397	1.00E-33	0.8	7
CRC	0.758657514	3.23E-71	0.525262182	0.478182629	1.00E-69	0.8	7
BRCA	0.759362643	6.64E-208	0.425907721	0.348958663	2.06E-206	0.8	7
THYM	0.796395583	0	0.680785125	0.432060245	0	0.8	7
STAD	0.832985447	0	0.488021365	0.402173133	0	0.8	7
TGCT	0.852270795	2.68E-48	0.657736519	0.623541806	8.30E-47	0.9	7
