SampleID	Stemness	NormEXTENDScores	Phase
HN25_P23_E12_S252_comb	0.312372609041346	0.239005006604685	NonCycling
HN25_P23_G01_S265_comb	0.441350856526956	0.349914441015007	NonCycling
HN25_P23_H04_S280_comb	0.338436960578574	0.118057599821542	NonCycling
HN25_P24_A02_S98_comb	0.398513842071681	0.114888268282709	NonCycling
HN25_P24_B01_S109_comb	0.396530909902344	0.221057651982678	NonCycling
HN25_P24_B02_S110_comb	0.726819112877769	0.396795386870275	G1_S
HN25_P24_B04_S112_comb	0.766357606658829	0.561679679474246	G1_S
HN25_P24_B07_S115_comb	0.514003346435185	0.350325917658601	NonCycling
HN25_P24_E01_S145_comb	0.414528200273904	0.277875803448889	NonCycling
HN25_P24_F12_S168_comb	0.525679837602024	0.548028660582745	G1_S
HN25_P24_G01_S169_comb	0.680231233192927	0.309011015077767	NonCycling
HN25_P24_G05_S173_comb	0.434058618057192	0.386979739511074	NonCycling
HN25_P24_G07_S175_comb	0.4377387740272	0.145127763199908	NonCycling
HN25_P24_G08_S176_comb	0.446362976812927	0.297990694234655	G2_M
HN25_P24_G10_S178_comb	0.304217002745698	0.301179711822663	NonCycling
HN25_P24_H02_S182_comb	0.234337097331406	0.202080700576831	NonCycling
HN25_P25_A09_S297_comb	0.525960728219493	0.310765307472753	NonCycling
HN25_P25_A12_S300_comb	0.612966191316364	0.506699139864344	G1_S
HN25_P25_B12_S312_comb	0.401009841460945	0.228016626878257	NonCycling
HN25_P25_C03_S315_comb	0.703243892571587	0.546768344724841	G1_S
HN25_P25_C04_S316_comb	0.426685631466057	0.320656550102615	NonCycling
HN25_P25_C07_S319_comb	0.390997625059211	0.1516016193853	NonCycling
HN25_P25_C10_S322_comb	0.647525461291037	0.424790247570534	G2_M
HN25_P25_D09_S333_comb	0.424744368462851	0.242261599216363	NonCycling
HN25_P25_E08_S344_comb	0.355701636171903	0.278711420834634	NonCycling
HN25_P25_G11_S371_comb	0.435374313497204	0.397485893281783	NonCycling
HN25_P25_G12_S372_comb	0.478326829748569	0.42085992448658	NonCycling
HN25_P25_H06_S378_comb	0.286393701662426	0.214069702321494	NonCycling
HN25_P5_A06_S6_comb	0.569572092454786	0.200721686804816	NonCycling
HN25_P5_A07_S7_comb	0.708627847994604	0.312354391308445	G2_M
HN25_P5_B10_S22_comb	0.452456011410054	0.286465375217148	NonCycling
HN25_P5_B12_S24_comb	0.429309680454815	0.292311145996527	NonCycling
HN25_P5_C02_S26_comb	0.446041219199915	0.329425297723312	NonCycling
HN25_P5_C09_S33_comb	0.431221778071876	0.320019799449796	NonCycling
HN25_P5_D09_S45_comb	0.699798877717295	0.594794408944842	G1_S
HN25_P5_D12_S48_comb	0.632972052724555	0.653681051208751	G1_S
HN25_P5_E07_S55_comb	0.545212269021434	0.221402252174575	NonCycling
HN25_P5_E09_S57_comb	0.576437585474539	0.42039932859972	NonCycling
HN25_P5_E11_S59_comb	0.495548659519241	0.191159410413287	NonCycling
HN25_P5_F09_S69_comb	0.705926832463359	0.427495989839126	G2_M
HN25_P5_F11_S71_comb	0.741859032482789	0.623508569588844	G1_S
HN25_P5_F12_S72_comb	0.282640976743544	0.318610229405811	NonCycling
HN25_P5_G05_S77_comb	0.512373121474423	0.289776191528682	NonCycling
HN26_P13_A08_S104_comb	0.560325874133074	0.269431836629241	NonCycling
HN26_P13_B04_S112_comb	0.672377633187469	0.34782682055655	NonCycling
HN26_P13_C04_S124_comb	0.71880002419397	0.221107482650374	NonCycling
HN26_P13_E03_S147_comb	0.718150496479901	0.324878001151945	NonCycling
HN26_P13_E12_S156_comb	0.621087506457574	0.415942192699369	NonCycling
HN26_P13_F01_S157_comb	0.771244943215278	0.324288495979544	NonCycling
HN26_P13_F12_S168_comb	0.59882003144102	0.541240863493601	NonCycling
HN26_P13_G01_S169_comb	0.726486340879938	0.463009430142903	G1_S
HN26_P14_A01_S193_comb	0.641331946727703	0.249519844811709	NonCycling
HN26_P14_A04_S196_comb	0.625209702738437	0.331028341173505	NonCycling
HN26_P14_B03_S207_comb	0.721984399518163	0.544191040132551	G1_S
HN26_P14_B04_S208_comb	0.476010677061585	0.402625262693207	NonCycling
HN26_P14_B09_S213_comb	0.635154422559313	0.251533011150232	NonCycling
HN26_P14_C10_S226_comb	0.651354505504355	0.354004117563275	NonCycling
HN26_P14_C12_S228_comb	0.757753399992657	0.471831946538893	G2_M
HN26_P14_D04_S232_comb	0.526606820103788	0.395551931059986	NonCycling
HN26_P14_D05_S233_comb	0.663831599055439	0.535602335823826	G2_M
HN26_P14_D06_S234_comb	0.577682984275412	0.300320592767545	NonCycling
HN26_P14_D10_S238_comb	0.555173751221484	0.252966007597092	NonCycling
HN26_P14_D11_S239_comb	0.706260014254987	0.18701889422503	NonCycling
HN26_P14_F02_S254_comb	0.633764961051204	0.356683197411494	G2_M
HN26_P14_F03_S255_comb	0.647572251034008	0.374507524696888	NonCycling
HN26_P14_F10_S262_comb	0.701873272799021	0.503054595985173	NonCycling
HN26_P14_H03_S279_comb	0.550812771106854	0.402270290873477	NonCycling
HN26_P14_H06_S282_comb	0.746825419410294	0.475312824540252	G2_M
HN26_P25_A01_S97_comb	0.655369206872863	0.386744065842621	G2_M
HN26_P25_A03_S99_comb	0.630750622143497	0.569037316888512	G1_S
HN26_P25_A05_S101_comb	0.732071315571499	0.337709125058514	NonCycling
HN26_P25_A08_S104_comb	0.566082430095586	0.288686035156385	NonCycling
HN26_P25_A12_S108_comb	0.596549317325977	0.212458925332106	NonCycling
HN26_P25_B03_S111_comb	0.577049868514424	0.529753424646197	NonCycling
HN26_P25_B05_S113_comb	0.592537421297741	0.370188160083691	NonCycling
HN26_P25_B07_S115_comb	0.635408646485449	0.234860490058935	NonCycling
HN26_P25_B08_S116_comb	0.518704977664105	0.495706095919397	NonCycling
HN26_P25_B10_S118_comb	0.494673045885746	0.217332249493822	NonCycling
HN26_P25_C02_S122_comb	0.641914504185869	0.329703497411618	NonCycling
HN26_P25_C04_S124_comb	0.513526270565703	0.221249513463866	NonCycling
HN26_P25_C07_S127_comb	0.642831813175437	0.317485759169942	NonCycling
HN26_P25_C09_S129_comb	0.571159564675526	0.483978844352214	NonCycling
HN26_P25_C12_S132_comb	0.639326472997076	0.351160220174746	NonCycling
HN26_P25_D02_S134_comb	0.575629636214077	0.34985597864821	NonCycling
HN26_P25_D05_S137_comb	0.546936009883142	0.342390019168966	NonCycling
HN26_P25_D08_S140_comb	0.602297054701385	0.182158052764354	NonCycling
HN26_P25_E02_S146_comb	0.66298702407668	0.205344006901139	NonCycling
HN26_P25_E03_S147_comb	0.578194747672033	0.369355122040615	NonCycling
HN26_P25_E04_S148_comb	0.63117546694501	0.268603578790884	NonCycling
